Law Enforcement Agency,Agency Type,STATE,County Name,Program Type,ICE Signed Date,Location,Jurisdiction Population (2024 US Census ACS
Madison Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Nov 4, 2025","Madison, FLORIDA",2994
Lanier County Sheriff's Office,County,GEORGIA,Lanier County,Task Force Model,"Nov 4, 2025","Lakeland, GEORGIA 31635",10464
Grady County Sheriff's Office,County,GEORGIA,Grady County,Task Force Model,"Nov 4, 2025","Cairo, GEORGIA 39828",26271
Brown County Sheriff's Office,County,KANSAS,Brown County,Jail Enforcement Model,"Nov 4, 2025","County: Brown County, KANSAS",9142
Brown County Sheriff's Office,County,KANSAS,Brown County,Task Force Model,"Nov 4, 2025","County: Brown County, KANSAS",9142
Sedgwick County Sheriff's Office,County,KANSAS,Sedgwick County,Warrant Service Officer,"Nov 4, 2025","County: Sedgwick County, KANSAS",536081
Coffeyville Police Department,Municipality,KANSAS,#NA,Task Force Model,"Nov 4, 2025","Coffeyville, KANSAS",8545
West Branch Police Department,Municipality,MICHIGAN,Ogemaw County,Task Force Model,"Nov 4, 2025","West Branch, MICHIGAN",2355
Ozark County Sheriff's Office,County,MISSOURI,Ozark County,Jail Enforcement Model,"Nov 4, 2025","County: Ozark County, MISSOURI",9090
Ozark County Sheriff's Office,County,MISSOURI,Ozark County,Task Force Model,"Nov 4, 2025","County: Ozark County, MISSOURI",9090
Ozark County Sheriff's Office,County,MISSOURI,Ozark County,Warrant Service Officer,"Nov 4, 2025","County: Ozark County, MISSOURI",9090
Sparta Police Department,Municipality,MISSOURI,#N/A,Task Force Model,"Nov 4, 2025","Sparta, MISSOURI",1956
Washburn Police Department,Municipality,MISSOURI,#N/A,Task Force Model,"Nov 4, 2025","Washburn, MISSOURI",415
Onslow County Sheriff's Office,County,NORTH CAROLINA,Onslow County,Task Force Model,"Nov 4, 2025","County: Onslow County, NORTH CAROLINA",212954
Clermont County Sheriff's Office,County,OHIO,Clermont County,Task Force Model,"Nov 4, 2025","County: Clermont County, OHIO",214123
Gratis Police Department,Municipality,OHIO,#NA,Task Force Model,"Nov 4, 2025","Gratis, OHIO",835
Benton Borough Police Department,Municipality,PENNSYLVANIA,Columbia County,Task Force Model,"Nov 4, 2025","Benton Borough, PENNSYLVANIA",824
Union Township Police Department,Municipality,PENNSYLVANIA,Washington County,Task Force Model,"Nov 4, 2025","Union Township, PENNSYLVANIA",null
Carter County Sheriff's Office,County,TENNESSEE,Carter County,Warrant Service Officer,"Nov 4, 2025","County: Carter County, TENNESSEE",57434
Jefferson County Sheriff's Office,County,TENNESSEE,Jefferson County,Warrant Service Officer,"Nov 4, 2025","County: Jefferson County, TENNESSEE",59217
Shelby County Sheriff's Office,County,TENNESSEE,Shelby County,Warrant Service Officer,"Nov 4, 2025","County: Shelby County, TENNESSEE",910530
Sevierville Police Department,Municipality,TENNESSEE,#NA,Task Force Model,"Nov 4, 2025","Sevierville, TENNESSEE",18231
Polk County Constable 4th District,Municipality,TENNESSEE,#NA,Task Force Model,"Nov 4, 2025","Polk County, TENNESSEE",null
Wichita County Sheriff's Office,County,TEXAS,Wichita County,Task Force Model,"Nov 4, 2025","County: Wichita County, TEXAS",129984
Comanche County Sheriff's Office,County,TEXAS,Comanche County,Warrant Service Officer,"Nov 4, 2025","County: Comanche County, TEXAS",14359
Dallam County Sheriff's Office,County,TEXAS,Dallam County,Task Force Model,"Nov 4, 2025","County: Dallam County, TEXAS",7526
Mills County Sheriff's Office,County,TEXAS,Mills County,Warrant Service Officer,"Nov 4, 2025","County: Mills County, TEXAS",4563
Falfurrias Police Department,Municipality,TEXAS,#NA,Task Force Model,"Nov 4, 2025","Falfurrias, TEXAS",4351
Holland Police Department,Municipality,TEXAS,#NA,Task Force Model,"Nov 4, 2025","Holland, TEXAS",1129
Smiley City Marshal's Office,Municipality,TEXAS,#NA,Task Force Model,"Nov 4, 2025","Smiley City Marshal's Office, TEXAS",490
Sevier County Sheriff's Office,County,UTAH,Sevier County,Jail Enforcement Model,"Nov 4, 2025","County: Sevier County, UTAH",22520
Sevier County Sheriff's Office,County,UTAH,Sevier County,Warrant Service Officer,"Nov 4, 2025","County: Sevier County, UTAH",22520
Marathon County Sheriff's Office,County,WISCONSIN,Marathon County,Jail Enforcement Model,"Nov 4, 2025","Marathon County, WISCONSIN",139091
Lincoln County Sheriff's Office,County,WYOMING,Lincoln County,Warrant Service Officer,"Nov 4, 2025","Afton, WYOMING 83110",21000
Brown County Sheriff's Office,County,KANSAS,Brown County,Warrant Service Officer,"Nov 5, 2025","County: Brown County, KANSAS",9142
Washington County Sheriff's Office,County,TENNESSEE,Washington County,Warrant Service Officer,"Nov 5, 2025","County: Washington County, TENNESSEE",139642
Franklin County Sheriff's Office,County,ALABAMA,Franklin County,Task Force Model,"Nov 6, 2025","Russellville, ALABAMA 35653",31874
Cash Police Department,Municipality,ARKANSAS,#NA,Task Force Model,"Nov 6, 2025","Cash, ARKANSAS 72421",283
Port Richey Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Nov 6, 2025","Port Richey, FLORIDA",3637
Alto Police Department,Municipality,GEORGIA,#NA,Task Force Model,"Nov 6, 2025","Alto, GEORGIA 30510",1011
LaGrange Police Department,Municipality,INDIANA,#NA,Task Force Model,"Nov 6, 2025","LaGrange, INDIANA",2757
Marion County Sheriff's Office,County,IOWA,Marion County,Task Force Model,"Nov 6, 2025","County: Marion County, IOWA",34048
Webster County Sheriff's Office,County,MISSOURI,Webster County,Task Force Model,"Nov 6, 2025","County: Webster County, MISSOURI",42041
Springdale Borough Police Department,Municipality,PENNSYLVANIA,Allegheny County,Task Force Model,"Nov 6, 2025","Springdale Borough, PENNSYLVANIA",3272
Metropolitan Moore County Sheriff's Office,County,TENNESSEE,Moore County,Warrant Service Officer,"Nov 6, 2025","County: Moore County, TENNESSEE",6773
Dekalb County Sheriff's Office,County,TENNESSEE,Dekalb County,Warrant Service Officer,"Nov 6, 2025","County: Dekalb County, TENNESSEE",21747
Sevier County Sheriff's Office,County,TENNESSEE,Sevier County,Task Force Model,"Nov 6, 2025","County: Sevier County, TENNESSEE",100184
Sevier County Sheriff's Office,County,TENNESSEE,Sevier County,Warrant Service Officer,"Nov 6, 2025","County: Sevier County, TENNESSEE",100184
Paris Police Department,Municipality,TEXAS,#NA,Task Force Model,"Nov 6, 2025","Paris, TEXAS",25037
Zapata County Sheriff's Office,County,TEXAS,Zapata County,Jail Enforcement Model,"Nov 6, 2025","County: Zapata County, TEXAS",13819
Zapata County Sheriff's Office,County,TEXAS,Zapata County,Task Force Model,"Nov 6, 2025","County: Zapata County, TEXAS",13819
Freer Police Department,Municipality,TEXAS,#NA,Task Force Model,"Nov 6, 2025","Freer, TEXAS",2352
Shiner Police Department,Municipality,TEXAS,#NA,Task Force Model,"Nov 6, 2025","Shiner, TEXAS",2163
Big Sandy Police Departement,Municipality,TEXAS,#NA,Task Force Model,"Nov 6, 2025","Big Sandy Police Departement, TEXAS",1326
Franklin County Sheriff's Office,County,GEORGIA,Franklin County,Warrant Service Officer,"Nov 10, 2025","Carnesville, GEORGIA 30521",25208
Fulton County Sheriff's Office,County,KENTUCKY,Fulton County,Task Force Model,"Nov 10, 2025","County: Fulton County, KENTUCKY",6282
Moulton Police Department,Municipality,TEXAS,Lavaca County,Task Force Model,"Nov 10, 2025","Moulton, TEXAS",858
Putnam County Sheriff's Office,County,WEST VIRGINIA,Putnam County,Task Force Model,"Nov 10, 2025","County: Putnam County, WEST VIRGINIA",57067
Elberta Police Department,Municipality,ALABAMA,#NA,Task Force Model,"Nov 14, 2025","Elberta, ALABAMA 36530",2147
Semmes Police Department,Municipality,ALABAMA,#NA,Task Force Model,"Nov 14, 2025","Semmes, ALABAMA 36575",6193
Angola Police Department,Municipality,INDIANA,#NA,Task Force Model,"Nov 14, 2025","Angola, INDIANA",9432
Wathena Police Department,Municipality,KANSAS,Doniphan County,Task Force Model,"Nov 14, 2025","Wathena, KANSAS",1260
Hickman County Sheriff's Office,County,KENTUCKY,Hickman County,Task Force Model,"Nov 14, 2025","County: Hickman County, KENTUCKY",4393
Warren County Sheriff's Office,County,OHIO,Warren County,Task Force Model,"Nov 14, 2025","County: Warren County, OHIO",256059
Sardinia Police Department,Municipality,OHIO,#NA,Task Force Model,"Nov 14, 2025","Sardinia, OHIO",1109
Van Buren County Sheriff's Office,County,TENNESSEE,Van Buren County,Warrant Service Officer,"Nov 14, 2025","County: Van Buren County, TENNESSEE",6686
Lincoln County Sheriff's Office,County,TENNESSEE,Lincoln County,Warrant Service Officer,"Nov 14, 2025","County: Lincoln County, TENNESSEE",36751
Fayette County Sheriff's Office,County,TEXAS,Fayette County,Task Force Model,"Nov 14, 2025","County: Fayette County, TEXAS",25488
Uvalde County Sheriff's Office,County,TEXAS,Uvalde County,Jail Enforcement Model,"Nov 14, 2025","Uvalde County, TEXAS",25138
Andrews County Sheriff's Office,County,TEXAS,Andrews County,Warrant Service Officer,"Nov 14, 2025","County: Andrews County, TEXAS",18923
Arp Police Department,Municipality,TEXAS,#NA,Task Force Model,"Nov 14, 2025","Arp, TEXAS",987
Eutawville Police Department,Municipality,SOUTH CAROLINA,Orangeburg County,Task Force Model,"Nov 18, 2025","Eutawville, SC 29048",241
Madison County Sheriff's Office,County,TENNESSEE,Madison County,Task Force Model,"Nov 18, 2025","Madison County, TN",100409
Lampasas County Sheriff's Office,County,TEXAS,Lampasas County,Task Force Model,"Nov 18, 2025","Lampasas County, TX",23539
Midway Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Nov 19, 2025","Midway, FL 32343",3485
Welaka Police Department,Municipality,FLORIDA,#NA,Task Force Model,"Nov 19, 2025","Welaka, FL 32193",763
Douglas County Sheriff's Office,County,MISSOURI,Douglas County,Task Force Model,"Nov 19, 2025","Douglas County, MO",12290
Ash Grove Police Department,Municipality,MISSOURI,#NA,Task Force Model,"Nov 19, 2025","Ash Grove, MO 65604",1523
Ava Police Department,Municipality,MISSOURI,#NA,Task Force Model,"Nov 19, 2025","Ava, MO 65608",3184
Cattaraugus County Sheriff's Office,County,NEW YORK,Cattaraugus County,Task Force Model,"Nov 19, 2025","Cattaraugus County, NY",75475
Tyler County Sheriff's Office,County,TEXAS,Tyler County,Warrant Service Officer,"Nov 19, 2025","Tyler County, TX",20560
Point Comfort Police Department,Municipality,TEXAS,Calhoun County,Task Force Model,"Nov 19, 2025","Point Comfort, TX 77978",562
Cloud County Sheriff's Department,County,KANSAS,Cloud County,Warrant Service Officer,"Nov 20, 2025","Concordia, KS 66901",8723
Crane Police Department,Municipality,MISSOURI,Stone County,Task Force Model,"Nov 20, 2025","Crane, MO 65633",1526
Clay County Sheriff's Office,County,TEXAS,Clay County,Task Force Model,"Nov 20, 2025","Henrietta, TX 76365",10730
Clay County Sheriff's Office,County,TEXAS,Clay County,Warrant Service Officer,"Nov 20, 2025","Henrietta, TX 76365",10730
New Berlin Marshal's Office,Municipality,TEXAS,Guadalupe County,Task Force Model,"Nov 20, 2025","New Berlin, TX 78155",711
Sanpete County Sheriff's Office,County,UTAH,Sanpete County,Warrant Service Officer,"Nov 20, 2025","Manti, UT 84642",30732
Renville County Sheriff's Office,County,NORTH DAKOTA,Renville County,Task Force Model,"Nov 21, 2025","Mohall, ND 58761",2376
Renville County Sheriff's Office,County,NORTH DAKOTA,Renville County,Warrant Service Officer,"Nov 21, 2025","Mohall, ND 58761",2376
Marion County Sheriff's Office,County,TENNESSEE,Marion County,Warrant Service Officer,"Nov 21, 2025","Jasper, TN 37347",29826
Hancock County Sheriff's Office,County,TENNESSEE,Hancock County,Warrant Service Officer,"Nov 24, 2025","Sneedville, TN 37869",7038
Yoakum Police Department,County,TEXAS,Yoakum County,Task Force Model,"Nov 24, 2025","Plains, TX 79355",7581
Arkansas Department of Corrections,State,ARKANSAS,Pulaski County,Jail Enforcement Model,"Dec 2, 2025",Arkansas,3088354
Arkansas Department of Corrections,State,ARKANSAS,Pulaski County,Warrant Service Officer,"Dec 2, 2025",Arkansas,3088354
Lyon County Sheriff's Office,County,KANSAS,Lyon County,Warrant Service Officer,"Dec 2, 2025","Emporia, KS 66801",32520
Callaway County Sheriff's Office,County,MISSOURI,Callaway County,Jail Enforcement Model,"Dec 2, 2025","Fulton, MO 65251",45126
Walnut Grove Police Department,Municipality,MISSOURI,Greene County,Task Force Model,"Dec 2, 2025","Walnut Grove, MO 65770",642
Bowman County Sheriff's Office,County,NORTH DAKOTA,Bowman County,Task Force Model,"Dec 2, 2025","Bowman, ND 58623",2886
Center Township Police Department,Municipality,PENNSYLVANIA,"Beaver County ",Task Force Model,"Dec 2, 2025","Aliquippa, PA 15001",9003
Unicoi County Sheriff's Office,County,TENNESSEE,Unicoi County,Warrant Service Officer,"Dec 2, 2025","Erwin, TN 37650",17872
Webb County Sheriff's Office,County,TEXAS,Webb County,Jail Enforcement Model,"Dec 2, 2025","Laredo, TX 78040",272823
Johnson County Sheriff's Office,County,TEXAS,Johnson County,Jail Enforcement Model,"Dec 2, 2025","Cleburne, TX 76031",210547
Guadalupe County Sheriff's Office,County,TEXAS,Guadalupe County,Jail Enforcement Model,"Dec 2, 2025","Seguin, TX 78155",195166
Taylor County Sheriff's Office,County,TEXAS,Taylor County,Warrant Service Officer,"Dec 2, 2025","Abilene, TX 79602",148813
Brown County Sheriff's Office,County,TEXAS,Brown County,Warrant Service Officer,"Dec 2, 2025","Brownwood, TX 76801",38631
Colorado County Sheriff's Office,County,TEXAS,Colorado County,Warrant Service Officer,"Dec 2, 2025","Columbus, TX 78934",21475
Morris County Sheriff's Office,County,TEXAS,Morris County,Task Force Model,"Dec 2, 2025","Daingerfield, TX 75638",12184
Parmer County Sheriff's Office,County,TEXAS,Parmer County,Warrant Service Officer,"Dec 2, 2025","Farwell, TX 79325",9669
Borden County Sheriff's Office,County,TEXAS,Borden County,Task Force Model,"Dec 2, 2025","Gail, TX 79738",557
Hampshire County Sheriff's Office,County,WEST VIRGINIA,Hampshire County,Task Force Model,"Dec 2, 2025","Romney, WV 26757",23793
Dekalb County Sheriff's Office,County,ALABAMA,DeKalb County,Task Force Model,"Dec 8, 2025","Fort Payne, AL 35968",73122
Etowah County Sheriff's Office,County,ALABAMA,Etowah County,Task Force Model,"Dec 8, 2025","Gadsden, AL 35901",103207
Camp Hill Police Department,Municipality,ALABAMA,Tallapoosa County,Task Force Model,"Dec 8, 2025","Camp Hill, AL 36850",965
Gretna Police Department,Municipality,FLORIDA,Gadsden County,Task Force Model,"Dec 8, 2025","Gretna, FL 32332",1284
Phillips County Sheriff's Department,County,KANSAS,Phillips County,Warrant Service Officer,"Dec 8, 2025","Phillipsburg, KS 67661",4733
Osage County Sheriff's Office,County,KANSAS,Osage County,Warrant Service Officer,"Dec 8, 2025","Lyndon, KS 66451",15737
Carlisle County Sheriff's Office,County,KENTUCKY,Carlisle County,Task Force Model,"Dec 8, 2025","Bardwell, KY 42030",4777
Montgomery County Sheriff's Office,County,KENTUCKY,Montgomery County,Task Force Model,"Dec 8, 2025","Mt Sterling, KY 40353",28771
Mississippi Department of Public Safety,State,MISSISSIPPI,null,Task Force Model,"Dec 8, 2025",Mississippi,2943045
Lawrence County Sheriff's Office,County,MISSOURI,Lawrence County,Task Force Model,"Dec 8, 2025","Mt Vernon, MO 65712",39151
Mountain Grove Police Department,Municipality,MISSOURI,Wright County,Task Force Model,"Dec 8, 2025","Mountain Grove, MO 65711",4690
Peebles Police Department,Municipality,OHIO,Adams County,Task Force Model,"Dec 8, 2025","Peebles, OH 45660",1760
Major County Sheriff's Department,County,OKLAHOMA,Major County,Task Force Model,"Dec 8, 2025","Fairview, OK 73737",7569
Weatherford Police Department,Municipality,OKLAHOMA,Custer County,Task Force Model,"Dec 8, 2025","Weatherford, OK 73096",12047
Chippewa Township Police Department,Municipality,PENNSYLVANIA,Beaver County,Task Force Model,"Dec 8, 2025","Beaver Falls, PA 15010",8757
Bastrop County Sheriff's Office,County,TEXAS,Bastrop County,Task Force Model,"Dec 8, 2025","Bastrop, TX 78602",114931
Upshur County Sheriff's Office,County,TEXAS,Upshur County,Task Force Model,"Dec 8, 2025","Gilmer, TX 75644",44050
Freestone County Constable Precinct 2,Municipality,TEXAS,Freestone County,Task Force Model,"Dec 8, 2025","Teague, Texas 75860",3569
Frederick County Sheriff's Office,County,VIRGINIA,Frederick County,Task Force Model,"Dec 8, 2025","Winchester, VA 22602",98109
Mineral County Sheriff's Office,County,WEST VIRGINIA,Mineral County,Task Force Model,"Dec 8, 2025","Keyser, WV 26726",26778
Summersville Police Department,Municipality,WEST VIRGINIA,Nicholas County,Task Force Model,"Dec 8, 2025","Summersville, WV 26651",3326
